r,thera,thera eith pi,rcos,rsin,-r,-rcos,-rsin
0,0,0,0,0,0,0,0
0.41766547,10,0.174444444,0.411326608,0.072490453,-0.41766547,-0.411326608,-0.072490453
0.590668172,20,0.348888889,0.555082263,0.201922188,-0.590668172,-0.555082263,-0.201922188
0.723417814,30,0.523333333,0.626594195,0.361542595,-0.723417814,-0.626594195,-0.361542595
0.835330939,40,0.697777778,0.64009062,0.536713868,-0.835330939,-0.64009062,-0.536713868
0.933928382,50,0.872222222,0.600634043,0.715164994,-0.933928382,-0.600634043,-0.715164994
1.023067284,60,1.046666667,0.512003935,0.885730567,-1.023067284,-0.512003935,-0.885730567
1.105038964,70,1.221111111,0.378588659,1.038162674,-1.105038964,-0.378588659,-1.038162674
1.181336343,80,1.395555556,0.205960352,1.163243693,-1.181336343,-0.205960352,-1.163243693
1.252996409,90,1.57,0.000997795,1.252996011,-1.252996409,-0.000997795,-1.252996011
1.320774184,100,1.744444444,-0.228199064,1.300911078,-1.320774184,0.228199064,-1.300911078
1.38523965,110,1.918888889,-0.472512711,1.302159985,-1.38523965,0.472512711,-1.302159985
1.446835628,120,2.093333333,-0.722087013,1.253763805,-1.446835628,0.722087013,-1.253763805
1.505914266,130,2.267777778,-0.966655467,1.154709915,-1.505914266,0.966655467,-1.154709915
1.562761089,140,2.442222222,-1.195899196,1.006005633,-1.562761089,1.195899196,-1.006005633
1.617611408,150,2.616666667,-1.399817883,0.810664271,-1.617611408,1.399817883,-0.810664271
1.670661878,160,2.791111111,-1.569098139,0.573621949,-1.670661878,1.569098139,-0.573621949
1.722078847,170,2.965555556,-1.69546488,0.301586466,-1.722078847,1.69546488,-0.301586466
1.772004515,180,3.14,-1.772002267,0.002822188,-1.772004515,1.772002267,-0.002822188
1.820561574,190,3.314444444,-1.793432088,-0.313122643,-1.820561574,1.793432088,0.313122643
1.867856763,200,3.488888889,-1.756338978,-0.635737591,-1.867856763,1.756338978,0.635737591
1.913983629,210,3.663333333,-1.659333766,-0.953910262,-1.913983629,1.659333766,0.953910262
1.959024701,220,3.837777778,-1.503148342,-1.256313193,-1.959024701,1.503148342,1.256313193
2.003053225,230,4.012222222,-1.290657775,-1.531804403,-2.003053225,1.290657775,1.531804403
2.046134567,240,4.186666667,-1.026827893,-1.769827999,-2.046134567,1.026827893,1.769827999
2.088327348,250,4.361111111,-0.718589102,-1.960801064,-2.088327348,0.718589102,1.960801064
2.129684379,260,4.535555556,-0.374639735,-2.096473378,-2.129684379,0.374639735,2.096473378
2.170253441,270,4.71,-0.005184688,-2.170247248,-2.170253441,0.005184688,2.170247248
2.210077927,280,4.884444444,0.378382633,-2.177445987,-2.210077927,-0.378382633,2.177445987
2.249197388,290,5.058888889,0.763845029,-2.115521132,-2.249197388,-0.763845029,2.115521132
2.287647992,300,5.233333333,1.138561133,-1.984190485,-2.287647992,-1.138561133,1.984190485
2.325462917,310,5.407777778,1.489886903,-1.785501273,-2.325462917,-1.489886903,1.785501273
2.362672686,320,5.582222222,1.805605019,-1.523815191,-2.362672686,-1.805605019,1.523815191
2.399305455,330,5.756666667,2.074347799,-1.205714674,-2.399305455,-2.074347799,1.205714674
2.435387261,340,5.931111111,2.28599928,-0.839832366,-2.435387261,-2.28599928,0.839832366
2.47094224,350,6.105555556,2.43206264,-0.436608375,-2.47094224,-2.43206264,0.436608375
2.505992817,360,6.28,2.505980104,-0.007982343,-2.505992817,-2.505980104,0.007982343
